label,num,50,51,52,53,54,55,56,57,58,59,60,61,62,63
1,1,0.72694,1.4742,0.32396,0.98535,1,0.83592,0.0046566,0.0039465,0.04779,0.12795,0.016108,0.0052323,0.00027477,1.1756
1,2,0.74173,1.5257,0.36116,0.98152,0.99825,0.79867,0.0052423,0.0050016,0.02416,0.090476,0.0081195,0.002708,7.48E-05,0.69659
1,3,0.76722,1.5725,0.38998,0.97755,1,0.80812,0.0074573,0.010121,0.011897,0.057445,0.0032891,0.00092068,3.79E-05,0.44348
1,4,0.73797,1.4597,0.35376,0.97566,1,0.81697,0.0068768,0.0086068,0.01595,0.065491,0.0042707,0.0011544,6.63E-05,0.58785
1,5,0.82301,1.7707,0.44462,0.97698,1,0.75493,0.007428,0.010042,0.0079379,0.045339,0.0020514,0.00055986,2.35E-05,0.34214
1,6,0.72997,1.4892,0.34284,0.98755,1,0.84482,0.0049451,0.0044506,0.010487,0.058528,0.0034138,0.0011248,2.48E-05,0.34068
1,7,0.82063,1.7529,0.44458,0.97964,0.99649,0.7677,0.0059279,0.0063954,0.018375,0.080587,0.0064523,0.0022713,4.15E-05,0.53904
1,8,0.77982,1.6215,0.39222,0.98512,0.99825,0.80816,0.0050987,0.0047314,0.024875,0.089686,0.0079794,0.0024664,0.00014676,0.66975
1,9,0.83089,1.8199,0.45693,0.9824,1,0.77106,0.0060055,0.006564,0.0072447,0.040616,0.0016469,0.00038812,3.29E-05,0.33696
1,10,0.90631,2.3906,0.58336,0.97683,0.99825,0.66419,0.0084019,0.012848,0.0070096,0.042347,0.0017901,0.00045889,2.83E-05,0.28082
1,11,0.7459,1.4927,0.34116,0.98296,1,0.83088,0.0055665,0.0056395,0.0057679,0.036511,0.0013313,0.00030872,3.18E-05,0.25026
1,12,0.79606,1.6934,0.43387,0.98181,1,0.76985,0.0077992,0.011071,0.013677,0.057832,0.0033334,0.00081648,0.00013855,0.49751
2,1,0.93361,2.7582,0.64257,0.98346,1,0.59851,0.0055336,0.0055731,0.029712,0.089889,0.0080153,0.0020648,0.00023883,0.91499
2,2,0.91186,2.4994,0.60323,0.983,1,0.64916,0.0061494,0.0068823,0.018887,0.072486,0.0052267,0.0014887,8.33E-05,0.67811
2,3,0.89063,2.2927,0.56667,0.98732,1,0.66427,0.0028365,0.0014643,0.029272,0.091328,0.0082717,0.0022383,0.00020166,0.87177
2,4,0.86755,2.009,0.51464,0.98691,1,0.70277,0.0054439,0.0053937,0.030348,0.092063,0.0084044,0.0022541,0.00019854,0.94545
2,5,0.91852,2.5247,0.61648,0.9787,1,0.63037,0.0050494,0.0046404,0.02309,0.082029,0.0066839,0.0018929,0.00012452,0.71713
2,6,0.88795,2.2038,0.56218,0.97835,0.99825,0.64158,0.0059242,0.0063874,0.032722,0.092969,0.0085691,0.0021199,0.00027729,1.008
2,7,0.85121,1.9548,0.4892,0.98622,1,0.70267,0.0039733,0.0028733,0.020258,0.070841,0.0049933,0.0012274,0.00014929,0.74174
2,8,0.89084,2.2979,0.57815,0.97389,1,0.64598,0.015271,0.042443,0.028461,0.086477,0.0074228,0.0018832,0.00024345,0.91307
2,9,0.93062,2.8973,0.65828,0.98182,1,0.5795,0.0064894,0.0076645,0.023606,0.072237,0.005191,0.0011217,0.00025558,0.90513
2,10,0.84113,1.86,0.46549,0.99039,1,0.75976,0.0046759,0.0039793,0.062798,0.13234,0.017213,0.0044528,0.00065523,1.653
33,1,0.69887,1.4947,0.34694,0.97906,1,0.74423,0.0070445,0.0090318,0.067277,0.15809,0.024383,0.0079843,0.00066857,1.2554
33,2,0.60555,1.3891,0.29569,0.97439,1,0.73603,0.010821,0.02131,0.1363,0.20829,0.04158,0.010017,0.0020084,2.2733
33,3,0.79495,1.7056,0.42041,0.98477,1,0.76317,0.0074486,0.010098,0.064127,0.14621,0.020929,0.0061549,0.00065287,1.3662
33,4,0.75535,1.6662,0.4065,0.97627,1,0.75126,0.0098445,0.017638,0.020477,0.09052,0.0081274,0.0031335,0.00012137,0.4391
33,5,0.69398,1.4542,0.32457,0.98263,0.99474,0.79449,0.0063863,0.0074227,0.079016,0.16552,0.026666,0.0079652,0.00077178,1.5438
33,6,0.81992,1.8698,0.47287,0.97829,0.99825,0.65353,0.0074141,0.010004,0.06789,0.142,0.019765,0.004991,0.00096699,1.4857
33,7,0.68878,1.4399,0.32986,0.98318,1,0.7847,0.0070802,0.0091235,0.083675,0.17243,0.028872,0.008786,0.0010143,1.5313
33,8,0.72174,1.5301,0.35707,0.97994,0.99649,0.78622,0.013545,0.03339,0.040677,0.11435,0.012908,0.0038198,0.00036093,0.98926
33,9,0.73067,1.5145,0.34921,0.98686,1,0.81119,0.017693,0.056975,0.081485,0.16841,0.02758,0.0081927,0.00084762,1.552
33,10,0.65119,1.4026,0.30387,0.9799,1,0.80081,0.0082573,0.012409,0.10567,0.185,0.033093,0.0087245,0.0013911,1.9632
33,11,0.71999,1.569,0.37089,0.97599,0.99825,0.77145,0.013975,0.035546,0.11997,0.19286,0.035863,0.0086099,0.001837,2.1311
34,1,0.99571,10.352,0.90609,0.90652,0.97895,0.16732,0.025787,0.12103,0.023523,0.089455,0.0079387,0.0028882,6.93E-05,0.73774
